"Age","ECC","ECC_413k_notched_out","OMEGA","OBL","Prec","EXI","ETP"
125,"0.04231","0.69760","304.76",23818,-35,"485.71","3.1349"
126,"0.04194","0.65467","288.80",23945,-40,"486.53","3.5239"
127,"0.04153","0.60904","272.92",24054,-41,"484.15","3.7499"
128,"0.04109","0.56071","257.12",24142,-40,"478.95","3.8138"
129,"0.04063","0.50977","241.39",24207,-36,"471.51","3.7144"
130,"0.04013","0.45623","225.73",24247,-29,"462.57","3.4693"
131,"0.03960","0.40038","210.14",24262,-20,"452.91","3.0952"
132,"0.03906","0.34211","194.59",24251,-10,"443.29","2.6229"
133,"0.03849","0.28162","179.08",24214,1,"434.42","2.0796"
134,"0.03790","0.21901","163.62",24154,11,"426.86","1.5047"
135,"0.03730","0.15457","148.18",24071,20,"421.05","0.9271"
136,"0.03668","0.08830","132.77",23967,27,"417.23","0.3857"
137,"0.03605","0.02048","117.39",23847,32,"415.52","-0.0937"
138,"0.03542","0.04869","102.02",23712,35,"415.86","-0.4877"
139,"0.03478","0.11892","86.66",23568,35,"418.04","-0.7843"
140,"0.03415","0.18992","71.32",23417,32,"421.77","-0.9767"
141,"0.03352","0.26140","56.00",23265,28,"426.64","-1.0711"
142,"0.03291","0.33317","40.69",23116,21,"432.17","-1.0781"
143,"0.03231","0.40466","25.41",22974,14,"437.90","-1.0145"
144,"0.03173","0.47556","10.16",22844,6,"443.34","-0.9010"
145,"0.03118","0.54560","354.95",22729,-3,"448.07","-0.7600"
146,"0.03066","0.61409","339.78",22632,-11,"451.74","-0.6142"
147,"0.03017","0.68066","324.67",22557,-17,"454.11","-0.4800"
148,"0.02972","0.74481","309.63",22505,-23,"455.06","-0.3762"
149,"0.02931","0.80577","294.66",22478,-27,"454.57","-0.3062"
150,"0.02896","0.86346","279.76",22476,-29,"452.74","-0.2781"
151,"0.02865","0.91691","264.96",22498,-29,"449.75","-0.2876"
152,"0.02840","0.96572","250.23",22544,-27,"445.86","-0.3355"
153,"0.02821","1.00940","235.59",22611,-23,"441.35","-0.4044"
154,"0.02808","1.04720","221.04",22698,-18,"436.54","-0.4960"
155,"0.02800","1.07890","206.56",22800,-13,"431.73","-0.5872"
156,"0.02799","1.10400","192.14",22915,-6,"427.23","-0.6838"
157,"0.02804","1.12190","177.79",23039,1,"423.31","-0.7624"
158,"0.02815","1.13260","163.47",23169,8,"420.22","-0.8282"
159,"0.02832","1.13600","149.18",23301,15,"418.17","-0.8632"
160,"0.02854","1.13180","134.91",23432,20,"417.32","-0.8750"
161,"0.02882","1.12020","120.64",23557,25,"417.81","-0.8468"
162,"0.02914","1.10120","106.36",23676,28,"419.70","-0.7834"
163,"0.02951","1.07530","92.06",23783,29,"422.99","-0.6724"
164,"0.02991","1.04250","77.72",23879,29,"427.63","-0.5188"
165,"0.03036","1.00340","63.33",23960,27,"433.46","-0.3114"
166,"0.03083","0.95849","48.89",24026,23,"440.25","-0.0602"
167,"0.03133","0.90813","34.38",24075,18,"447.69","0.2395"
168,"0.03186","0.85295","19.80",24107,11,"455.38","0.5749"
169,"0.03240","0.79333","5.15",24122,3,"462.87","0.9413"
170,"0.03296","0.72995","350.42",24119,-5,"469.64","1.3186"
171,"0.03353","0.66329","335.60",24100,-14,"475.19","1.6953"
172,"0.03411","0.59383","320.70",24064,-22,"479.04","2.0436"
173,"0.03470","0.52216","305.71",24014,-28,"480.80","2.3449"
174,"0.03528","0.44845","290.63",23950,-33,"480.20","2.5711"
175,"0.03587","0.37359","275.45",23873,-36,"477.15","2.7019"
176,"0.03645","0.29777","260.19",23784,-36,"471.71","2.7174"
