Age,ECC,ECC_413k_notched_out,OMEGA,OBL,Prec,EXI,ETP,EXI_WM
1553,0.03086,,183.49,23.026,-0.002,424.3,,450.53
1554,0.03114,,165.5,23.081,0.008,418.09,,443.65
1555,0.03138,,147.54,23.142,0.017,413.72,,438.7
1556,0.03159,,129.6,23.206,0.024,411.69,,436.21
1557,0.03176,,111.69,23.274,0.03,412.29,,436.48
1558,0.03188,,93.81,23.344,0.032,415.54,,439.57
1559,0.03198,,75.95,23.415,0.031,421.25,,445.23
1560,0.03203,,58.12,23.486,0.027,428.97,,453.01
1561,0.03206,,40.31,23.556,0.021,438.06,,462.22
1562,0.03204,,22.52,23.623,0.012,447.71,,472.03
1563,0.032,,4.75,23.686,0.003,457.03,,481.51
1564,0.03192,,346.99,23.744,-0.007,465.17,,489.74
1565,0.03182,,329.25,23.795,-0.016,471.34,,495.93
1566,0.03168,,311.52,23.839,-0.024,474.95,,499.47
1567,0.03152,,293.79,23.874,-0.029,475.69,,500.05
1568,0.03133,,276.06,23.898,-0.031,473.53,,497.63
1569,0.03112,,258.32,23.912,-0.03,468.76,,492.53
1570,0.03088,,240.57,23.914,-0.027,461.89,,485.3
1571,0.03062,,222.8,23.904,-0.021,453.66,,476.72
1572,0.03034,,205,23.881,-0.013,444.89,,467.63
1573,0.03005,,187.17,23.844,-0.004,436.4,,458.9
1574,0.02973,,169.3,23.795,0.006,428.97,,451.36
1575,0.0294,,151.37,23.733,0.014,423.2,,445.61
1576,0.02906,,133.39,23.659,0.021,419.53,,442.14
1577,0.02871,,115.34,23.575,0.026,418.19,,441.16
1578,0.02835,,97.22,23.481,0.028,419.16,,442.67
1579,0.02799,,79.02,23.38,0.027,422.22,,446.44
1580,0.02762,,60.72,23.274,0.024,426.94,,452.01
1581,0.02724,,42.34,23.165,0.018,432.74,,458.75
1582,0.02686,,23.85,23.055,0.011,438.91,,465.89
1583,0.02649,,5.26,22.948,0.002,444.71,,472.64
1584,0.02612,,346.58,22.847,-0.006,449.41,,478.22
1585,0.02575,,327.79,22.754,-0.014,452.42,,481.96
1586,0.02539,,308.89,22.672,-0.02,453.36,,483.42
1587,0.02504,,289.91,22.605,-0.024,452.06,,482.42
1588,0.02471,,270.83,22.554,-0.025,448.65,,479.08
1589,0.02438,,251.68,22.521,-0.023,443.51,,473.77
1590,0.02408,,232.45,22.508,-0.019,437.22,,467.13
1591,0.02379,,213.16,22.516,-0.013,430.51,,459.91
1592,0.02352,,193.82,22.545,-0.006,424.12,,452.94
1593,0.02327,,174.45,22.594,0.002,418.79,,446.97
1594,0.02305,,155.05,22.663,0.01,415.1,,442.68
1595,0.02286,,135.65,22.751,0.016,413.51,,440.52
1596,0.02269,,116.25,22.854,0.02,414.23,,440.74
1597,0.02254,,96.86,22.97,0.022,417.26,,443.37
1598,0.02243,,77.51,23.096,0.022,422.4,,448.15
1599,0.02235,,58.19,23.229,0.019,429.23,,454.67
1600,0.0223,,38.91,23.365,0.014,437.16,,462.32
1601,0.02229,,19.69,23.501,0.008,445.48,,470.36
1602,0.0223,,0.53,23.634,0,453.45,,478.03
1603,0.02235,,341.44,23.759,-0.007,460.33,,484.56
1604,0.02243,,322.4,23.873,-0.014,465.5,,489.34
1605,0.02254,,303.44,23.975,-0.019,468.5,,491.9
1606,0.02267,,284.54,24.061,-0.022,469.09,,492
1607,0.02284,,265.7,24.13,-0.023,467.3,,489.73
1608,0.02304,,246.93,24.181,-0.021,463.38,,485.34
1609,0.02326,,228.21,24.211,-0.017,457.81,,479.32
1610,0.02351,,209.54,24.221,-0.012,451.19,,472.34
1611,0.02378,,190.93,24.21,-0.005,444.25,,465.13
1612,0.02406,,172.35,24.18,0.003,437.7,,458.44
1613,0.02437,,153.81,24.131,0.011,432.17,,452.92
1614,0.0247,,135.29,24.064,0.017,428.21,,449.11
1615,0.02504,,116.8,23.981,0.022,426.16,,447.41
1616,0.02539,,98.32,23.885,0.025,426.21,,447.97
1617,0.02575,,79.85,23.777,0.025,428.3,,450.74
1618,0.02611,,61.38,23.661,0.023,432.18,,455.46
1619,0.02649,,42.91,23.539,0.018,437.39,,461.62
1620,0.02686,,24.44,23.414,0.011,443.32,,468.57
1621,0.02724,,5.95,23.29,0.003,449.24,,475.53
1622,0.02761,,347.46,23.169,-0.006,454.39,,481.68
1623,0.02798,,328.97,23.053,-0.014,458.06,,486.22
1624,0.02834,,310.46,22.947,-0.022,459.68,,488.56
1625,0.0287,,291.95,22.852,-0.027,458.89,,488.28
1626,0.02904,,273.44,22.769,-0.029,455.62,,485.28
1627,0.02937,,254.94,22.701,-0.028,450.1,,479.79
1628,0.02969,,236.45,22.648,-0.025,442.82,,472.32
1629,0.02999,,217.98,22.612,-0.018,434.49,,463.63
1630,0.03027,,199.53,22.592,-0.01,425.93,,454.6
1631,0.03053,,181.11,22.589,-0.001,418.01,,446.18
1632,0.03076,,162.72,22.601,0.009,411.53,,439.2
1633,0.03098,,144.38,22.627,0.018,407.15,,434.38
1634,0.03117,,126.08,22.667,0.025,405.32,,432.21
1635,0.03133,,107.83,22.72,0.03,406.26,,432.96
1636,0.03146,,89.63,22.782,0.031,409.95,,436.56
1637,0.03156,,71.48,22.853,0.03,416.1,,442.73
1638,0.03163,,53.39,22.932,0.025,424.2,,450.94
1639,0.03167,,35.36,23.015,0.018,433.55,,460.42
1640,0.03167,,17.38,23.101,0.009,443.31,,470.3
1641,0.03164,,359.45,23.189,-0,452.58,,479.63
1642,0.03157,,341.58,23.277,-0.01,460.5,,487.52
1643,0.03146,,323.76,23.364,-0.019,466.35,,493.2
1644,0.03132,,305.98,23.447,-0.025,469.62,,496.17
1645,0.03114,,288.25,23.527,-0.03,470.1,,496.21
1646,0.03091,,270.56,23.601,-0.031,467.85,,493.4
1647,0.03065,,252.91,23.669,-0.029,463.26,,488.16
1648,0.03034,,235.29,23.73,-0.025,456.91,,481.12
1649,0.03,,217.71,23.783,-0.018,449.56,,473.08
1650,0.02961,,200.14,23.828,-0.01,442.01,,464.89
1651,0.02918,,182.6,23.864,-0.001,435.04,,457.37
1652,0.02871,,165.08,23.89,0.007,429.33,,451.23
1653,0.0282,,147.57,23.906,0.015,425.38,,446.98
1654,0.02765,,130.07,23.913,0.021,423.49,,444.97
1655,0.02706,,112.58,23.909,0.025,423.76,,445.27
1656,0.02642,,95.08,23.895,0.026,426.06,,447.76
1657,0.02574,,77.58,23.871,0.025,430.07,,452.1
1658,0.02503,,60.06,23.837,0.022,435.29,,457.78
1659,0.02427,,42.53,23.794,0.016,441.14,,464.17
1660,0.02348,,24.98,23.741,0.01,446.94,,470.56
1661,0.02265,,7.4,23.681,0.003,452.05,,476.29
1662,0.02178,,349.78,23.613,-0.004,455.93,,480.76
1663,0.02087,,332.12,23.539,-0.01,458.16,,483.53
1664,0.01993,,314.42,23.461,-0.014,458.54,,484.39
1665,0.01896,,296.66,23.379,-0.017,457.07,,483.3
1666,0.01795,,278.83,23.295,-0.018,453.96,,480.49
1667,0.01692,,260.94,23.212,-0.017,449.61,,476.37
1668,0.01585,,242.96,23.13,-0.014,444.52,,471.42
1669,0.01476,,224.89,23.053,-0.01,439.24,,466.26
1670,0.01364,,206.7,22.981,-0.006,434.3,,461.4
1671,0.0125,,188.38,22.917,-0.002,430.15,,457.34
1672,0.01133,,169.89,22.862,0.002,427.11,,454.4
1673,0.01014,,151.18,22.818,0.005,425.35,,452.77
1674,0.00894,,132.17,22.787,0.007,424.88,,452.44
1675,0.00773,,112.71,22.768,0.007,425.56,,453.25
1676,0.00651,,92.57,22.764,0.006,427.11,,454.93
1677,0.00529,,71.27,22.774,0.005,429.19,,457.1
1678,0.00409,,47.78,22.798,0.003,431.41,,459.34
1679,0.00296,,19.58,22.835,0.001,433.43,,461.27
1680,0.00203,,340.14,22.885,-0.001,434.95,,462.61
1681,0.00172,,282.47,22.946,-0.002,435.8,,463.19
1682,0.0023,,230.01,23.017,-0.002,435.97,,462.98
1683,0.00334,,195.34,23.095,-0.001,435.56,,462.11
1684,0.00454,,169.29,23.179,0.001,434.79,,460.84
1685,0.0058,,146.96,23.266,0.003,433.98,,459.51
1686,0.00709,,126.48,23.353,0.006,433.47,,458.49
1687,0.00839,,107.04,23.439,0.008,433.58,,458.15
1688,0.0097,,88.24,23.52,0.01,434.57,,458.75
1689,0.01101,,69.88,23.595,0.01,436.6,,460.47
1690,0.01232,,51.83,23.662,0.01,439.66,,463.34
1691,0.01362,,34.01,23.718,0.008,443.64,,467.21
1692,0.01492,,16.37,23.763,0.004,448.23,,471.8
1693,0.0162,,358.86,23.796,-0,453.05,,476.69
1694,0.01748,,341.45,23.815,-0.006,457.6,,481.37
1695,0.01874,,324.13,23.82,-0.011,461.33,,485.26
1696,0.01999,,306.86,23.811,-0.016,463.75,,487.86
1697,0.02122,,289.65,23.789,-0.02,464.43,,488.71
1698,0.02244,,272.47,23.754,-0.022,463.12,,487.53
1699,0.02364,,255.31,23.708,-0.023,459.75,,484.24
1700,0.02482,,238.17,23.651,-0.021,454.46,,478.99
1701,0.02598,,221.02,23.586,-0.017,447.62,,472.14
1702,0.02712,,203.88,23.515,-0.011,439.78,,464.27
1703,0.02824,,186.73,23.439,-0.003,431.61,,456.06
1704,0.02934,,169.56,23.361,0.005,423.85,,448.27
1705,0.03042,,152.38,23.284,0.014,417.22,,441.67
1706,0.03148,,135.19,23.208,0.022,412.36,,436.91
1707,0.03251,,117.98,23.138,0.029,409.78,,434.53
1708,0.03351,,100.76,23.074,0.033,409.78,,434.87
1709,0.03449,,83.53,23.018,0.034,412.47,,438.01
1710,0.03545,,66.29,22.973,0.032,417.71,,443.83
1711,0.03638,,49.05,22.938,0.027,425.15,,451.91
1712,0.03729,,31.81,22.916,0.02,434.17,,461.63
1713,0.03817,,14.59,22.906,0.01,444,,472.13
1714,0.03902,,357.37,22.908,-0.002,453.71,,482.45
1715,0.03985,,340.18,22.922,-0.014,462.37,,491.57
1716,0.04065,,323.01,22.948,-0.024,469.06,,498.53
1717,0.04142,,305.88,22.984,-0.034,473.06,,502.56
1718,0.04217,,288.77,23.029,-0.04,473.89,,503.17
1719,0.04289,,271.71,23.082,-0.043,471.41,,500.23
1720,0.04358,,254.68,23.141,-0.042,465.82,,493.95
1721,0.04425,,237.69,23.204,-0.037,457.66,,484.93
1722,0.04488,,220.75,23.27,-0.029,447.7,,474.01
1723,0.04549,,203.85,23.336,-0.018,436.91,,462.22
1724,0.04607,,186.98,23.401,-0.006,426.31,,450.65
1725,0.04662,,170.15,23.464,0.008,416.89,,440.36
1726,0.04714,,153.36,23.523,0.021,409.5,,432.27
1727,0.04763,,136.6,23.576,0.033,404.84,,427.07
1728,0.0481,,119.87,23.623,0.042,403.35,,425.26
1729,0.04853,,103.16,23.663,0.047,405.25,,427.07
1730,0.04893,,86.47,23.694,0.049,410.49,,432.42
1731,0.0493,,69.8,23.717,0.046,418.73,,440.99
1732,0.04963,,53.14,23.731,0.04,429.42,,452.18
1733,0.04994,,36.48,23.735,0.03,441.74,,465.12
1734,0.05021,,19.83,23.731,0.017,454.69,,478.78
1735,0.05045,,3.18,23.718,0.003,467.15,,491.97
1736,0.05065,,346.52,23.696,-0.012,477.97,,503.5
1737,0.05082,,329.85,23.667,-0.026,486.13,,512.28
1738,0.05095,,313.17,23.63,-0.037,490.78,,517.4
1739,0.05105,,296.48,23.587,-0.046,491.43,,518.35
1740,0.05111,,279.77,23.538,-0.05,487.93,,514.97
1741,0.05113,,263.04,23.484,-0.051,480.59,,507.54
1742,0.05111,,246.29,23.426,-0.047,470.05,,496.75
1743,0.05106,,229.52,23.365,-0.039,457.27,,483.59
1744,0.05096,,212.72,23.303,-0.028,443.38,,469.25
1745,0.05082,,195.9,23.24,-0.014,429.58,,454.98
1746,0.05064,,179.06,23.178,0.001,417,,441.99
1747,0.05042,,162.19,23.117,0.015,406.63,,431.3
1748,0.05016,,145.31,23.06,0.029,399.21,,423.72
1749,0.04985,,128.4,23.006,0.039,395.25,,419.78
1750,0.0495,,111.48,22.958,0.046,394.96,,419.72
1751,0.04911,,94.54,22.916,0.049,398.28,,423.46
1752,0.04867,,77.6,22.882,0.048,404.86,,430.64
1753,0.04819,,60.64,22.855,0.042,414.11,,440.62
1754,0.04766,,43.69,22.838,0.033,425.21,,452.51
1755,0.04709,,26.75,22.83,0.021,437.15,,465.26
1756,0.04647,,9.81,22.833,0.008,448.86,,477.72
